ALUMNO,NACIONALIDAD,ENTIDAD
**************************,España,UPCT
***********************,España,Maersk Spain S.L.U.
********************,Argentina,
**************************,España,Sakata Seeds Ibérica S.L.
********************************,España,
*********************,España,IFAPA
********************,España,Verdifresh S.L.
******************,España,Fund. Parque Cient. Tecnol. Aula Dei ‐ CSIC
*****************************,España,Primaflor S.A.T.
*************,Portugal,Univ. do Algarve
*******************,España,ADESVA
**********************,Brasil,UPCT
***********************,España,UPCT
**********************,México,INIFAP
*************************,España,Gregal S.C.
*******************,España,Gregal S.C.
**********************,España,C.I.C. Oficina Técnica de Ingeniería S.L.U.
*********************************,España,Primaflor S.A.T.
**************************,España,Gregal S.C.
*****************,Holanda,NSURE
****************,Brasil,Survey Pericias Ltda.
*****************,     Portugal,Esc. Sup. Agr. de Santarém
*********************************,        España,
******************,España,Decco Iberica Post Cosecha S.A.U.
*************************,España,Primaflor S.A.T.
***************************,España,Toñifruit S.L.
*************************,Colombia,Ocati Tropical Fruits S.A.
****************************,Costa Rica,UPCT
***************************,Colombia,UPCT
***************************,Brasil,Inst. Agron. de Campinas
****************,España,Univ. de Almería
**********************,España,CITROSOL S.A.
*********************,España,UPCT
***********************,Brasil,UPCT
*************************,México,Univ. de Chapingo
***********************,Brasil,UPCT
****************,Holanda,Nsure
************************,España,SACOJE S.C.A.
*************************,España,Verdifresh S.L.
****************************,España,"G’s España Holdings, S.L."
***************************,España,UPCT
